id;name;qualification;image
201;HTML;INF.03;html.jpg
202;CSS;INF.03;css.jpg
203;JavaScript;INF.03;js.jpg
204;PHP;INF.03;php.jpg
205;SQL/Bazy Danych;INF.03;sql.jpg
206;Grafika/Multimedia;INF.03;multimedia.jpg
207;Inne;INF.03;other.jpg
